id_emprendimiento,nombre_emprendimiento,descripcion,redes_sociales,sitio_web,id_municipio_origen,id_alcance
42,Sol y Campo,Sistemas de energía solar para fincas,Facebook,1,7,2
43,EcoRutas,Circuitos turísticos sostenibles,"Instagram,Facebook,TikTok",1,8,2
44,Arcilla y Raíz,Cerámicas artesanales inspiradas en tradiciones,Instagram,0,9,1
45,Fuentes Limpias,Purificación de agua para comunidades,"Facebook,Instagram",1,10,2
46,Mujeres Tejedoras,Taller de empoderamiento femenino a través de tejidos,"Instagram,Facebook",1,1,1
47,Raíces Inclusivas,Proyectos culturales con comunidades indígenas,"Instagram,Facebook",1,1,2
48,Semillas de Cambio,Educación ambiental con enfoque en equidad,"Instagram,TikTok",1,1,2
49,Abrazos de Colores,Actividades recreativas para niños en situación de vulnerabilidad,"Instagram,TikTok",0,1,1
50,Puentes de Igualdad,Capacitación para personas con discapacidad,"Facebook,Instagram",1,12,2
51,Derecho a Sonreír,Atención psicológica para víctimas de violencia,"Facebook,Instagram",1,12,2
52,Voces Libres,Talleres de derechos humanos para jóvenes,"Instagram,TikTok",0,11,2
53,Voz y Voto,Capacitación en liderazgo ciudadano,"Facebook,Instagram",1,14,2
54,Ríos Vivos,Campañas contra la contaminación de ríos,"Instagram,Facebook,TikTok",1,5,2
55,Tierra Justa,Defensa de territorios frente a proyectos extractivos,"Instagram,Facebook,TikTok",1,5,2
56,EcoFeminista,Huerto urbano gestionado por mujeres,"Instagram,TikTok",0,2,1
57,Manos Diversas,Artesanías elaboradas por comunidades vulnerables,Instagram,0,3,1
58,Juntas Decidimos,Espacios de participación ciudadana para mujeres,"Facebook,Instagram",0,6,1
59,Mujeres del Campo,Apoyo a agricultoras en técnicas sostenibles,"Instagram,Facebook",0,7,2
60,Comunidad Activa,Foros comunitarios para la toma de decisiones,"Facebook,TikTok",1,8,1
61,Arcoíris Popayán,Espacio seguro para la comunidad LGBTI con talleres de sensibilización en Popayán.,"Instagram,Facebook",1,1,1
62,Raíces Afro,Promoción de la cultura afrocolombiana mediante talleres de percusión en Guapi.,"TikTok,Instagram",0,13,2
63,Mujeres que tejen,Cooperativa de mujeres indígenas en Silvia que crean textiles tradicionales.,"Facebook,Instagram",0,2,1
64,Voces Diversas,Apoyo a personas LGBTI en Totoró mediante asesorías psicológicas y sociales.,"Instagram,TikTok",0,3,1
65,Herencia Negra,Festival de danza afrodescendiente para preservar tradiciones en Santander de Quilichao.,"Facebook,Twitter",1,12,2
66,Feminismo Rural,Talleres de equidad de género para mujeres campesinas en Cajibío.,"Instagram,Facebook",0,4,1
67,Inclusión Activa,Programas de capacitación laboral para personas con discapacidad en Piendamó.,"TikTok,Facebook",0,5,2
68,Derechos para Todos,Campañas de educación en derechos humanos en El Tambo.,"Instagram,Twitter",1,6,1
69,Afro Tambores,Escuela de música afrocolombiana para jóvenes en Patía.,"Facebook,Instagram",0,8,1
70,Colores Libres,Eventos culturales LGBTI para promover la diversidad en Inzá.,"Instagram,TikTok",0,9,2
71,Cultura Puracé,Rescate de tradiciones indígenas mediante talleres de artesanías en Puracé.,"Facebook,Instagram",0,10,1
72,Juego por la Paz,Torneos de voleibol comunitarios para fomentar la inclusión en Timbío.,"TikTok,Instagram",0,11,1
73,Mujeres en Red,Red de apoyo para mujeres emprendedoras en Guapi.,"Instagram,Facebook",1,13,2
74,Afro Raíces,Talleres de cocina afrocolombiana para preservar la gastronomía en El Bordo.,"Facebook,TikTok",0,17,1
75,Diversidad en Marcha,Marchas y actividades LGBTI para visibilizar derechos en Balboa.,"Instagram,Twitter",0,14,1
76,Justicia Rural,Asesorías legales gratuitas sobre derechos humanos en La Sierra.,"Instagram,Facebook",1,15,2
77,Mujeres del Maíz,Capacitaciones en agricultura sostenible para mujeres en Sucre.,"TikTok,Facebook",0,16,1
78,Orgullo Afro,Espacio de empoderamiento afrodescendiente mediante talleres artísticos en Morales.,"Instagram,Facebook",0,7,1
79,Incluye y Crea,Taller de artesanías inclusivo para personas con discapacidad en Popayán.,"Facebook,Twitter",0,1,1
80,Vivas y Libres,Campañas feministas contra la violencia de género en Patía.,"Instagram,TikTok",1,8,2
