id_emprendimiento,nombre_emprendimiento,descripcion,id_municipio_origen,id_alcance
49,Abrazos de Colores,Actividades recreativas para niños en situación de vulnerabilidad,1,1
50,Puentes de Igualdad,Capacitación para personas con discapacidad,12,2
51,Derecho a Sonreír,Atención psicológica para víctimas de violencia,12,2
52,Voces Libres,Talleres de derechos humanos para jóvenes,11,2
53,Voz y Voto,Capacitación en liderazgo ciudadano,14,2
54,Ríos Vivos,Campañas contra la contaminación de ríos,5,2
55,Tierra Justa,Defensa de territorios frente a proyectos extractivos,5,2
56,EcoFeminista,Huerto urbano gestionado por mujeres,2,1
57,Manos Diversas,Artesanías elaboradas por comunidades vulnerables,3,1
58,Juntas Decidimos,Espacios de participación ciudadana para mujeres,6,1
59,Mujeres del Campo,Apoyo a agricultoras en técnicas sostenibles,7,2
60,Comunidad Activa,Foros comunitarios para la toma de decisiones,8,1
61,Arcoíris Popayán,Espacio seguro para la comunidad LGBTI con talleres de sensibilización en Popayán.,1,1
62,Raíces Afro,Promoción de la cultura afrocolombiana mediante talleres de percusión en Guapi.,13,2
63,Mujeres que tejen,Cooperativa de mujeres indígenas en Silvia que crean textiles tradicionales.,2,1
64,Voces Diversas,Apoyo a personas LGBTI en Totoró mediante asesorías psicológicas y sociales.,3,1
65,Herencia Negra,Festival de danza afrodescendiente para preservar tradiciones en Santander de Quilichao.,12,2
66,Feminismo Rural,Talleres de equidad de género para mujeres campesinas en Cajibío.,4,1
67,Inclusión Activa,Programas de capacitación laboral para personas con discapacidad en Piendamó.,5,2
68,Derechos para Todos,Campañas de educación en derechos humanos en El Tambo.,6,1
69,Afro Tambores,Escuela de música afrocolombiana para jóvenes en Patía.,8,1
70,Colores Libres,Eventos culturales LGBTI para promover la diversidad en Inzá.,9,2
71,Cultura Puracé,Rescate de tradiciones indígenas mediante talleres de artesanías en Puracé.,10,1
72,Juego por la Paz,Torneos de voleibol comunitarios para fomentar la inclusión en Timbío.,11,1
73,Mujeres en Red,Red de apoyo para mujeres emprendedoras en Guapi.,13,2
74,Afro Raíces,Talleres de cocina afrocolombiana para preservar la gastronomía en El Bordo.,17,1
75,Diversidad en Marcha,Marchas y actividades LGBTI para visibilizar derechos en Balboa.,14,1
76,Justicia Rural,Asesorías legales gratuitas sobre derechos humanos en La Sierra.,15,2
77,Mujeres del Maíz,Capacitaciones en agricultura sostenible para mujeres en Sucre.,16,1
78,Orgullo Afro,Espacio de empoderamiento afrodescendiente mediante talleres artísticos en Morales.,7,1
79,Incluye y Crea,Taller de artesanías inclusivo para personas con discapacidad en Popayán.,1,1
80,Vivas y Libres,Campañas feministas contra la violencia de género en Patía.,8,2
81,Feminismo Urbano,Espacio para las mujeres de Popayán con emprendimientos artísticos y de artesanías ,1,1
82,Salud Vital,Articula profesionales y voluntarios para llevar servicios de salud preventiva a barrios vulnerables.,1,2
